sample.id	num.tech.reps	strain	experiment.number	lane.number
SRX033480	1	C57BL/6J	6	1
SRX033488	1	C57BL/6J	7	1
SRX033481	1	C57BL/6J	6	2
SRX033489	1	C57BL/6J	7	2
SRX033482	1	C57BL/6J	6	3
SRX033490	1	C57BL/6J	7	3
SRX033483	1	C57BL/6J	6	5
SRX033476	1	C57BL/6J	4	6
SRX033478	1	C57BL/6J	4	7
SRX033479	1	C57BL/6J	4	8
SRX033472	1	DBA/2J	4	1
SRX033473	1	DBA/2J	4	2
SRX033474	1	DBA/2J	4	3
SRX033475	1	DBA/2J	4	5
SRX033491	1	DBA/2J	7	5
SRX033484	1	DBA/2J	6	6
SRX033492	1	DBA/2J	7	6
SRX033485	1	DBA/2J	6	7
SRX033493	1	DBA/2J	7	7
SRX033486	1	DBA/2J	6	8
SRX033494	1	DBA/2J	7	8
