SampleName	developmentStage	genotypeOrVariation
Sample_11	4_weeks	Nrl_deficient
Sample_12	4_weeks	Nrl_deficient
Sample_2	4_weeks	Nrl_deficient
Sample_9	4_weeks	Nrl_deficient
Sample_36	4_weeks	wild_type
Sample_37	4_weeks	wild_type
Sample_38	4_weeks	wild_type
Sample_39	4_weeks	wild_type
Sample_16	E16	Nrl_deficient
Sample_17	E16	Nrl_deficient
Sample_6	E16	Nrl_deficient
Sample_20	E16	wild_type
Sample_21	E16	wild_type
Sample_22	E16	wild_type
Sample_23	E16	wild_type
Sample_13	P10	Nrl_deficient
Sample_15	P10	Nrl_deficient
Sample_18	P10	Nrl_deficient
Sample_19	P10	Nrl_deficient
Sample_32	P10	wild_type
Sample_33	P10	wild_type
Sample_34	P10	wild_type
Sample_35	P10	wild_type
Sample_14	P2	Nrl_deficient
Sample_3	P2	Nrl_deficient
Sample_5	P2	Nrl_deficient
Sample_8	P2	Nrl_deficient
Sample_24	P2	wild_type
Sample_25	P2	wild_type
Sample_26	P2	wild_type
Sample_27	P2	wild_type
Sample_1	P6	Nrl_deficient
Sample_10	P6	Nrl_deficient
Sample_4	P6	Nrl_deficient
Sample_7	P6	Nrl_deficient
Sample_28	P6	wild_type
Sample_29	P6	wild_type
Sample_30	P6	wild_type
Sample_31	P6	wild_type
