F pVal sigma rank
1415670_at 1.39284571595748 0.257221134307538 0.150566868293563 24743
1415671_at 0.541570900931519 0.70624197000502 0.602589567595382 29149
1415672_at 0.706162715583169 0.593288302520721 0.397931408646509 28541
1415673_at 1.62971175712503 0.189350186108727 0.168296173131644 23024
1415674_a_at 5.51491938765013 0.00156308609264492 0.108458483518159 5201
1415675_at 3.36822268279565 0.0199909497174893 0.148376506597521 10885
1415676_a_at 2.9167752038453 0.035455481144199 0.775460407427352 13399
1415677_at 7.90849434420282 0.000128067291573571 0.170757927950603 2971
1415678_at 0.765297818157206 0.555235950896633 0.413279058061176 28314
1415679_at 5.64136861537027 0.0013578276209906 0.52183785343065 5034
1415680_at 0.640015406930272 0.637598263740691 0.333575218609818 28820
1415681_at 3.23185240162546 0.0237397062656204 0.493937111658063 11603
1415682_at 4.17313127424057 0.00742167969128813 0.413158675797271 7965
1415683_at 4.35944199370264 0.00593598451037279 0.580021639610081 7439
1415684_at 2.88465951138344 0.0369461720010117 0.344616527382797 13596
1415685_at 3.25692230826202 0.0229994678795937 0.373417738964165 11459
1415686_at 0.69300231600195 0.601964960705841 0.491352825105846 28607
1415687_a_at 3.06354789322724 0.0293926268165597 0.507014227088933 12497
1415688_at 1.22492396737642 0.318538282172288 0.825666744200704 25859
1415689_s_at 2.16462387275149 0.0940717556273372 0.38904699266284 18816
1415690_at 4.4149085580529 0.0055565363911084 0.597148699511044 7316
1415691_at 4.55659105414625 0.00469811150934621 0.580571814530925 6961
1415692_s_at 0.803725010818712 0.531377764517093 0.43624972069048 28159
1415693_at 5.88017396180698 0.00104370388607919 0.111211540892711 4715
1415694_at 4.89279088766885 0.00317165140080541 0.130054773932713 6278
1415695_at 1.75379805989075 0.161063702071177 0.5130375045671 22048
1415696_at 1.4146281842739 0.250124328125157 0.50970696907903 24580
1415697_at 8.22743646250719 9.40085719875112e-05 0.313426754373558 2757
1415698_at 13.3201813246089 1.24618868473466e-06 0.479530640292142 1109
1415699_a_at 3.7696228675281 0.0121335307402341 0.403301870358239 9245
1415700_a_at 0.798865521670343 0.534355601123752 0.624437869055781 28178
1415701_x_at 7.92462376783554 0.000126064465685193 0.472754922117745 2959
1415702_a_at 2.75216058313987 0.0438121183269458 0.454508491105936 14434
1415703_at 4.24941468072774 0.00677114919343764 0.710791422590742 7740
1415704_a_at 2.59031708388567 0.0540112930821502 0.547956477715692 15589
1415705_at 0.353388995849891 0.839842776856036 0.6229669947723 29616
1415706_at 1.92644988051319 0.128501692434461 0.617214632288416 20679
1415707_at 5.69085903072535 0.00128539258399057 0.707317394479744 4970
