""	"b1"	"b2"	"b3"	"c1"	"c2"	"c3"
"1769308_at"	11.1455060343751	6.79559253979714	6.70800306655984	10.9458776869138	6.69886215934826	11.0707252887716
"1769309_at"	2.16432945959427	3.17740803983918	3.12894995537524	2.49830834229269	3.04716851575709	2.44418847894261
"1769310_at"	1.48830007874383	1.42719999067723	1.8156977248348	1.46207537041049	2.07900693485305	1.62303630758998
"1769311_at"	9.00613838230067	9.46182069508223	9.23461767303059	8.97223320966732	9.27670971179903	9.00499688640042
"1769312_at"	6.94571520856451	6.89589516620833	6.95546294237695	6.85145375064933	6.90018668606141	6.89285354827738
"1769313_at"	7.81519169303838	6.60013093986333	6.53441264876916	7.77024503327809	6.56412309047583	7.85177692384053
"1769314_at"	8.6580981215362	8.78837201523564	8.98225957595422	8.57272659379309	8.80755875922876	8.6570395293548
"1769315_at"	1.39561441909922	1.45143141986623	1.63930308267123	1.35282720240619	1.53950619676807	1.33729707481642
"1769316_s_at"	1.9052378959527	1.91845677638597	1.62846987737765	1.72416719792171	1.74658536775967	1.51881485840963
"1769317_at"	6.96135554816049	7.41888985330458	7.25810338933446	7.07183960987847	7.22536104849244	6.8711572674108
"1769318_at"	1.72910069335975	1.25547500026405	1.3033297639716	1.47097274772506	1.3612255820118	1.72730701187569
"1769319_at"	9.36223810604203	9.17451444882863	9.16060848203334	9.41319469486721	9.08398939364668	9.30538666787164
"1769320_at"	5.74309117068521	5.5837122911107	5.54357333844238	5.66637665024637	5.44374102508058	5.88280173619449
"1769321_at"	1.68759628652042	1.93689907281496	1.79842059309047	1.81872079517885	1.84560899236533	1.46653563286968
"1769322_s_at"	5.53585072920451	6.89383311624389	6.69222124898329	5.42055229295726	6.5031813162485	5.39773931110445
"1769323_at"	7.57970477768954	7.47018588436415	7.55261200559105	7.59488646609855	7.37765728156717	7.53939908576021
"1769324_at"	7.05284679602707	6.74460200987047	6.69222124898329	7.10214524159976	6.56230410398908	7.06511166993828
"1769325_at"	6.15827721446958	4.96549712436632	4.95352963867184	5.96596677518596	4.97824540282213	6.1194486255321
"1769326_at"	1.21476052495119	1.87750580281415	1.62316201597625	1.52029456670533	1.83513806921677	1.59373657991962
"1769327_at"	0.713502417086605	1.33603487853529	1.30359936945957	1.19082941347849	1.18755255837803	1.38933723213396
"1769328_at"	1.48830007874383	1.87012655603511	1.41061704348899	1.55640561303109	1.55640561303109	1.26551176301537
"1769329_at"	7.54007017104931	8.07062199398608	7.98024861564243	7.52543911739055	7.92499218315544	7.58944958014556
"1769330_at"	1.25282202249583	1.41571785128122	1.29301671654242	1.30679465413965	1.55332905501878	1.13813968262312
"1769331_at"	6.98809837700535	7.43985450969479	7.544214608665	6.96260269304092	7.55914576069639	7.0399648086467
"1769333_at"	12.9397654178409	3.73813028761956	3.5608457792079	12.5456289549467	4.63946350712996	12.9304774658854
"1769334_at"	1.47293826946009	1.65770328999143	1.46399167706099	1.4926854838612	1.58784900712976	1.60517052510288
"1769335_at"	8.6501768464651	8.84948685854485	8.70491485859861	8.66030597970378	9.01372579493556	8.65408687534153
"1769336_at"	6.17386530773162	5.91836889862565	6.09736547084448	6.16799962273139	6.2932451619236	6.20856724979396
"1769337_at"	1.44233431318791	1.66700397865398	1.64653707011357	1.39113742999391	1.48633173269156	1.57571389820436
"1769338_at"	4.67671492523714	3.82928730321211	4.48256664894221	4.07799282044514	4.07799282044514	4.95585055319438
"1769339_at"	7.68376934795691	7.60818573210306	7.78076439351729	7.60418924693212	7.77295791722773	7.69601812574699
"1769340_at"	1.58940463971965	1.8387074260142	1.71701615571335	1.74536852724629	1.58940463971965	1.60010098194541
"1769341_at"	9.5650529420589	10.3922699636079	10.1553359144828	9.59033363489883	10.2238110914523	9.48101685696833
"1769342_at"	10.5637255158078	2.01952312803493	2.78341443743564	10.3482186519738	2.77998488869203	10.4489456039019
"1769343_at"	1.65958651049584	1.90104924623474	1.750900657765	1.61309381845062	1.8856207598985	1.45115371044998
"1769344_at"	8.53403109690816	9.2994733519155	9.14866953101995	8.68087261497542	9.2357298141005	8.52451260735187
"1769345_at"	7.35796343894615	7.23051599978894	7.03534401399589	7.37786906151454	7.02735390267332	7.31440534769239
"1769346_at"	6.78468224910204	6.91144919464212	6.866822100719	6.72572374618854	6.72721270397537	6.7353032780482
"1769347_at"	1.87012655603511	2.07900693485305	1.93433825096398	1.92770693457423	1.88809210841199	1.97626790264193
"1769348_at"	1.56288884539478	1.79206739288282	1.87419991175079	1.23190012272346	1.9282789165611	1.73785657722124
"1769349_s_at"	4.51364592724782	7.917851537057	7.69549268244394	4.77420334268261	7.45812218781991	4.18656740285517
"1769350_at"	5.68943435907404	6.21351129209503	6.6193881653574	5.7220180645508	6.269476629172	5.78584424795255
"1769351_at"	1.85850967256709	2.07900693485305	2.09062381832107	1.97861593236237	2.02663874387709	2.07900693485305
"1769352_at"	8.2024389129343	6.90644236941764	7.03337596901494	7.84777511090054	7.24009545375367	8.01537362649147
"1769353_at"	1.56655047113578	1.65852268425454	1.87340487239538	1.6969740815455	1.63821878629739	1.66452449357744
"1769354_at"	1.32442777083159	1.53940518988334	1.22631889620506	1.0480966673679	1.64591315169152	1.32514851926415
"1769355_at"	1.31165716573732	1.19325603737034	1.29402658098037	1.0480966673679	1.43214248279635	1.09899031049671
"1769356_at"	8.65490772946847	8.98792068651876	8.89410916064856	8.68592374901245	8.92726403780558	8.66412452908053
"1769357_at"	1.79494939010445	1.97456674544408	1.5927402681528	2.06998747748146	1.7997713967491	1.84745402640216
"1769358_at"	7.04818431759341	6.96019675419631	7.04101667701167	7.06590666955519	7.09244052705623	7.05477039403734
"1769359_at"	5.26940938853209	4.9611646023755	5.19437993924656	5.17994205851399	5.12783696818544	5.30563695555339
"1769360_at"	1.11543135217879	1.64434675176807	1.37515415199873	1.3264478542931	1.38754311221316	1.05363989565885
"1769361_at"	6.74657989732257	6.68282609575285	6.72058535011298	6.69847222923581	6.59919898570567	6.77556408793394
"1769362_at"	11.2464749684456	11.1413453841301	10.9426936259301	11.2066249494323	11.2966730060439	11.2650723492416
"1769363_at"	2.05985006749173	2.29819127418249	2.37027602295408	2.09767148887208	2.52127029806958	1.99651045620289
"1769364_at"	1.30998362151032	1.43163047835301	1.48986514263775	1.31437268502491	1.48986514263775	1.27778902268286
"1769365_at"	11.1230453384748	10.4039100578265	10.1052431979384	11.2089389788956	10.490087797453	11.161988703419
"1769366_at"	5.24757921010303	6.60828011004296	6.64974818324546	5.4727878781042	6.40406094861224	5.1111458015209
"1769367_at"	1.8350577901534	2.10905371154455	1.70842811551793	1.67363596889673	1.99823637771859	1.51834685543533
"1769368_at"	9.04921987971544	8.38726733532298	8.49482587165163	8.98838506596298	8.38279774026899	8.99568218453873
"1769369_at"	1.87012655603511	2.30371150540676	2.07900693485305	1.52465782564317	1.87012655603511	1.81822870500291
"1769370_at"	1.39528231036605	1.41571785128122	1.23285904789359	1.45403760561416	1.32442777083159	1.51087861678752
"1769371_at"	9.86532360822307	10.2658788090318	10.1905386227917	9.91217296368022	10.2746369131766	9.78896585092924
"1769372_at"	1.38429662475612	1.69050920069548	1.25979160408941	1.59282117500152	1.37732342754051	1.43030544099937
"1769373_at"	7.27590564279043	7.35845145314153	7.49055820164352	7.24274783298558	7.49963244037852	7.3986801717458
"1769374_at"	7.32525903182545	8.00898404689901	8.04865772818783	7.44890608838284	7.88840675061795	7.36832205693093
"1769375_at"	9.36430081507526	10.0233289003205	9.91759336620101	9.27211764007003	10.1878368254052	9.46783528770353
"1769376_at"	1.27486818921989	1.38670358813242	1.24802416694626	1.23017213310914	1.20812193641021	1.43446446226411
"1769377_at"	4.54901188599144	5.76476917954008	6.00018946635601	4.22831004267839	5.63507221936447	4.53599988361797
"1769378_at"	10.3139138381893	11.1033478863343	11.0089485781113	10.3081946189069	11.0268836602183	10.3680435720294
"1769379_at"	4.68411547185875	4.8915602889073	5.16112367966637	4.37238977612944	4.91247959642104	4.74345404198035
"1769380_at"	1.27174240968143	1.12049884374523	1.16927441877334	1.07452446711986	0.904739303305867	1.39990919648202
"1769381_at"	1.13778984931071	1.01214786705675	1.10067429027289	1.0480966673679	1.01214786705675	0.98026366550232
"1769382_at"	1.3548722161308	1.3548722161308	1.29402658098037	1.48830007874383	1.3548722161308	1.3548722161308
"1769383_at"	6.96024761091851	7.90343103323576	7.9447996724022	6.92922519911231	7.79445677876448	6.96039243520631
"1769384_at"	3.32131404564439	2.19772970110856	2.29225976711672	2.93542384905541	2.32266095696794	2.86835974217146
"1769385_at"	8.00770157297781	8.30574501005444	8.39340686202722	8.11638864060897	8.28465960942917	7.93756305944888
"1769386_at"	1.80028525685196	1.68486125904247	1.80666247393427	1.47056563945593	1.92179847011034	1.55951232003834
"1769387_at"	9.46811534367703	9.58521813189624	9.59839454866918	9.60263668413548	9.54322554650798	9.47120842580777
"1769388_at"	6.75234496085813	7.70112382166428	7.94833360826346	6.59743104400462	7.72410876181358	6.78451497362937
"1769389_at"	1.48703022515077	1.45032932924159	1.48830007874383	1.40370817410814	1.30608988425537	1.42386373176953
"1769390_s_at"	10.986370095977	11.5742746345584	11.3533896520499	11.0417110984203	11.7092448369674	11.1061218229048
"1769391_at"	1.28114803008168	1.28114803008168	1.48830007874383	1.60142486258481	1.19708349442668	1.37772552992164
"1769392_at"	8.48166759845438	7.76710993789463	7.47593780568755	8.68826334098634	8.01344959090428	8.3662068843205
"1769393_at"	1.58268117641186	1.84153774728586	1.90399820888003	1.69050920069548	1.70364239191761	1.69050920069548
"1769394_at"	1.35977463373732	2.09215805016884	1.79334899079623	1.61889368258448	2.00086796971921	1.45962044597636
"1769395_at"	9.36478944076548	9.90420453208679	9.7398187458936	9.6643800311067	9.75445758561704	9.29319892156551
"1769396_at"	2.15644202987044	2.3586511518221	2.22393495706546	2.0047851884067	2.15644202987044	1.9420174414703
"1769397_s_at"	11.5655608827258	11.9179449743924	11.7359601869423	11.499941953847	12.0455308407686	11.5895618425828
"1769398_at"	1.32063966459684	1.34819784197045	1.40731908984977	1.23017213310914	1.32442777083159	1.29308148722322
